time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:1635999826.422038,digit:4,change:None
time:1635999827.361779,digit:0,change:None
time:1635999827.361779,digit:1,change:None
time:1635999827.361779,digit:2,change:None
time:1635999827.361779,digit:3,change:None
time:1635999827.361779,digit:4,change:None
time:1635999828.328801,digit:0,change:None
time:1635999828.328801,digit:1,change:True
time:1635999828.328801,digit:2,change:None
time:1635999828.328801,digit:3,change:None
time:1635999828.328801,digit:4,change:None
time:1635999829.1639822,digit:0,change:None
time:1635999829.1639822,digit:1,change:None
time:1635999829.1639822,digit:2,change:None
time:1635999829.1639822,digit:3,change:None
time:1635999829.1639822,digit:4,change:None
time:1635999829.892738,digit:0,change:None
time:1635999829.892738,digit:1,change:True
time:1635999829.892738,digit:2,change:None
time:1635999829.892738,digit:3,change:None
time:1635999829.892738,digit:4,change:None
time:1635999830.5185652,digit:0,change:None
time:1635999830.5185652,digit:1,change:None
time:1635999830.5185652,digit:2,change:None
time:1635999830.5185652,digit:3,change:None
time:1635999830.5185652,digit:4,change:None
time:1635999832.9571378,digit:0,change:None
time:1635999832.9571378,digit:1,change:None
time:1635999832.9571378,digit:2,change:None
time:1635999832.9571378,digit:3,change:True
time:1635999832.9571378,digit:4,change:None
time:1635999836.9226391,digit:0,change:True
time:1635999836.9226391,digit:1,change:True
time:1635999836.9226391,digit:2,change:True
time:1635999836.9226391,digit:3,change:True
time:1635999836.9226391,digit:4,change:None
time: 1635999837.177428, hand closed
time:1635999837.177428,digit:0,change:True
time:1635999837.177428,digit:1,change:True
time:1635999837.177428,digit:2,change:True
time:1635999837.177428,digit:3,change:True
time:1635999837.177428,digit:4,change:True
time:1635999837.764243,digit:0,change:None
time:1635999837.764243,digit:1,change:None
time:1635999837.764243,digit:2,change:None
time:1635999837.764243,digit:3,change:True
time:1635999837.764243,digit:4,change:None
time:1635999840.785028,digit:0,change:None
time:1635999840.785028,digit:1,change:None
time:1635999840.785028,digit:2,change:None
time:1635999840.785028,digit:3,change:None
time:1635999840.785028,digit:4,change:None
time:1635999842.2958589,digit:0,change:None
time:1635999842.2958589,digit:1,change:None
time:1635999842.2958589,digit:2,change:True
time:1635999842.2958589,digit:3,change:None
time:1635999842.2958589,digit:4,change:None
time:1635999845.8467479,digit:0,change:None
time:1635999845.8467479,digit:1,change:None
time:1635999845.8467479,digit:2,change:None
time:1635999845.8467479,digit:3,change:None
time:1635999845.8467479,digit:4,change:True
time:1635999846.627336,digit:0,change:None
time:1635999846.627336,digit:1,change:None
time:1635999846.627336,digit:2,change:None
time:1635999846.627336,digit:3,change:None
time:1635999846.627336,digit:4,change:None
time:1635999846.779236,digit:0,change:None
time:1635999846.779236,digit:1,change:None
time:1635999846.779236,digit:2,change:True
time:1635999846.779236,digit:3,change:None
time:1635999846.779236,digit:4,change:None
time:1635999850.810258,digit:0,change:None
time:1635999850.810258,digit:1,change:None
time:1635999850.810258,digit:2,change:None
time:1635999850.810258,digit:3,change:None
time:1635999850.810258,digit:4,change:None
time:1635999851.7195761,digit:0,change:None
time:1635999851.7195761,digit:1,change:None
time:1635999851.7195761,digit:2,change:None
time:1635999851.7195761,digit:3,change:True
time:1635999851.7195761,digit:4,change:None
time:1635999852.751083,digit:0,change:None
time:1635999852.751083,digit:1,change:None
time:1635999852.751083,digit:2,change:None
time:1635999852.751083,digit:3,change:None
time:1635999852.751083,digit:4,change:None
time:1635999854.078152,digit:0,change:None
time:1635999854.078152,digit:1,change:None
time:1635999854.078152,digit:2,change:None
time:1635999854.078152,digit:3,change:True
time:1635999854.078152,digit:4,change:None
time:1635999855.316994,digit:0,change:None
time:1635999855.316994,digit:1,change:None
time:1635999855.316994,digit:2,change:None
time:1635999855.316994,digit:3,change:None
time:1635999855.316994,digit:4,change:None
time:1635999859.411823,digit:0,change:None
time:1635999859.411823,digit:1,change:None
time:1635999859.411823,digit:2,change:None
time:1635999859.411823,digit:3,change:True
time:1635999859.411823,digit:4,change:None
time:1635999862.041013,digit:0,change:None
time:1635999862.041013,digit:1,change:None
time:1635999862.041013,digit:2,change:None
time:1635999862.041013,digit:3,change:None
time:1635999862.041013,digit:4,change:None
time:1635999879.176268,digit:0,change:None
time:1635999879.176268,digit:1,change:None
time:1635999879.176268,digit:2,change:None
time:1635999879.176268,digit:3,change:True
time:1635999879.176268,digit:4,change:None
time:1635999879.809122,digit:0,change:None
time:1635999879.809122,digit:1,change:None
time:1635999879.809122,digit:2,change:None
time:1635999879.809122,digit:3,change:None
time:1635999879.809122,digit:4,change:None
time:1635999880.740156,digit:0,change:None
time:1635999880.740156,digit:1,change:None
time:1635999880.740156,digit:2,change:None
time:1635999880.740156,digit:3,change:True
time:1635999880.740156,digit:4,change:None
time:1635999881.368595,digit:0,change:None
